"","year","tfr_male","tfr_female","tfr_ratio","country"
"1",1990,4.58028543238844,3.93683374959853,1.16344395616287,"Mexico"
"2",1991,4.46615524772548,3.84212635888524,1.16241758613616,"Mexico"
"3",1992,4.4287074066259,3.81990270121816,1.15937701900459,"Mexico"
"4",1993,4.35268978767468,3.76153790694073,1.15715696487949,"Mexico"
"5",1994,4.31924360384298,3.74471060621492,1.15342520638966,"Mexico"
"6",1995,3.98988509708345,3.47240699813872,1.14902576202101,"Mexico"
"7",1996,3.83931367406656,3.3537410403887,1.14478536888512,"Mexico"
"8",1997,3.74403723466366,3.27904400815982,1.14180755895521,"Mexico"
"9",1998,3.61682181617218,3.17461994085728,1.13929285506708,"Mexico"
"10",1999,3.67614642640578,3.22893748109267,1.13850034196443,"Mexico"
"11",2000,3.65691620371936,3.21070807104122,1.13897499330527,"Mexico"
"12",2001,3.56305305032779,3.13249795538919,1.13744784547995,"Mexico"
"13",2002,3.42544029388494,3.01415562913998,1.13645103815104,"Mexico"
"14",2003,3.32800033629269,2.93057242945287,1.1356144290602,"Mexico"
"15",2004,3.24863246097613,2.86383574782582,1.13436410012077,"Mexico"
"16",2005,3.14307573671576,2.77696112081802,1.13184002222901,"Mexico"
"17",2006,3.03024208893422,2.68003065565528,1.13067441319745,"Mexico"
"18",2007,3.16084152585942,2.80182044739565,1.12813850323545,"Mexico"
"19",2008,3.08499948046542,2.74224780097116,1.1249893169293,"Mexico"
"20",2009,2.96415604055227,2.64577633307406,1.12033508029316,"Mexico"
"21",2010,2.99017848228544,2.68138351704769,1.11516255070358,"Mexico"
"22",2011,2.86787114397907,2.58988489907744,1.10733536652561,"Mexico"
"23",2012,2.72722577698361,2.47499513813008,1.10191156942801,"Mexico"
"24",2013,2.66257180866508,2.43160762178018,1.09498415156135,"Mexico"
"25",2014,2.60805025077637,2.3978914343496,1.08764317408881,"Mexico"
"26",2015,2.45856473847799,2.27605746721028,1.08018570440201,"Mexico"
"27",2016,2.37168543858532,2.20937196743402,1.07346588693248,"Mexico"
"28",2017,2.27775415597253,2.13802358758658,1.06535501722115,"Mexico"
"29",2018,2.18007834483297,2.05808254740888,1.05927643552377,"Mexico"
"30",2019,2.09062479904628,1.98615060250574,1.05260134675021,"Mexico"
"31",2020,1.62566181749922,1.55061722545062,1.04839659383172,"Mexico"
"32",2021,1.88552063861488,1.80905231637612,1.04226982356814,"Mexico"
"33",1972,2.16569854183525,1.97837890085383,1.09468340008103,"United States"
"34",1973,2.01322416142782,1.8442346873131,1.09163121986439,"United States"
"35",1974,1.95931360715657,1.80100239833008,1.08790172016055,"United States"
"36",1975,1.89059967810121,1.74385615617891,1.08414886824372,"United States"
"37",1976,1.85296266742183,1.71532767316648,1.08023831038724,"United States"
"38",1977,1.8927524200362,1.75954856604988,1.07570342561522,"United States"
"39",1978,1.84865929320188,1.72615119172461,1.0709718256805,"United States"
"40",1979,1.89047423269698,1.77519384786534,1.06493960362146,"United States"
"41",1980,1.90825926035305,1.80556260099572,1.05687792785511,"United States"
"42",1981,1.88092144346428,1.79439378896642,1.04822110677707,"United States"
"43",1982,1.87694252056469,1.8068810728591,1.03877479749939,"United States"
"44",1983,1.83049021990588,1.77937727335894,1.02872518791389,"United States"
"45",1984,1.82486061181431,1.79039948994017,1.0192477277098,"United States"
"46",1985,1.85399952656273,1.83473869653028,1.01049786003254,"United States"
"47",1986,1.84031273824274,1.83633814823218,1.00216441074014,"United States"
"48",1987,1.85922079281729,1.86830947223462,0.995135345855492,"United States"
"49",1988,1.90370210455082,1.92723821747787,0.987787647259375,"United States"
"50",1989,1.96556327984292,2.00537233846652,0.980148794385962,"United States"
"51",1990,2.01918149809038,2.07469632183845,0.973241952008247,"United States"
"52",1991,1.99333790995999,2.06287913083417,0.966289241170393,"United States"
"53",1992,1.96954572482713,2.04809444651748,0.961647900650328,"United States"
